State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
COMPILING,2023-06-06 18:42:16,2023-06-06 18:42:18.780000,1059.44,1062.22,2.78,7,35_complex
OUTPUT COMPREHENSION,2023-06-06 18:42:18.780000,2023-06-06 18:42:23.804000,1062.22,1067.244,5.024,7,35_complex
IDLE,2023-06-06 18:42:23.804000,2023-06-06 18:42:25.812000,1067.244,1069.252,2.008,8,169_original
TASK COMPREHENSION,2023-06-06 18:42:25.812000,2023-06-06 18:42:32.832000,1069.252,1076.272,7.02,8,169_original
FAULT LOCALIZATION,2023-06-06 18:42:32.832000,2023-06-06 18:42:55.664000,1076.272,1099.104,22.832,8,169_original
CODE EDITING,2023-06-06 18:42:55.664000,2023-06-06 18:43:18,1099.104,1121.44,22.336,8,169_original
COMPILING,2023-06-06 18:43:18,2023-06-06 18:43:26.977000,1121.44,1130.417,8.977,8,169_original
OUTPUT COMPREHENSION,2023-06-06 18:43:26.977000,2023-06-06 18:43:32.988000,1130.417,1136.428,6.011,8,169_original
IDLE,2023-06-06 18:43:32.988000,2023-06-06 18:43:33.991000,1136.428,1137.431,1.003,9,112_original
TASK COMPREHENSION,2023-06-06 18:43:33.991000,2023-06-06 18:43:50.043000,1137.431,1153.483,16.052,9,112_original
FAULT LOCALIZATION,2023-06-06 18:43:50.043000,2023-06-06 18:44:01.167000,1153.483,1164.607,11.124,9,112_original
CODE EDITING,2023-06-06 18:44:01.167000,2023-06-06 18:44:19,1164.607,1182.44,17.833,9,112_original
COMPILING,2023-06-06 18:44:19,2023-06-06 18:44:21.192000,1182.44,1184.632,2.192,9,112_original
OUTPUT COMPREHENSION,2023-06-06 18:44:21.192000,2023-06-06 18:47:53.411000,1184.632,1396.851,212.219,9,112_original
CODE EDITING,2023-06-06 18:47:53.411000,2023-06-06 18:47:58,1396.851,1401.44,4.589,9,112_original
COMPILING,2023-06-06 18:47:58,2023-06-06 18:48:00.640000,1401.44,1404.08,2.64,9,112_original
OUTPUT COMPREHENSION,2023-06-06 18:48:00.640000,2023-06-06 18:48:15.688000,1404.08,1419.128,15.048,9,112_original
TASK COMPREHENSION,2023-06-06 18:48:15.688000,2023-06-06 18:48:16.691000,1419.128,1420.131,1.003,10,136_original
FAULT LOCALIZATION,2023-06-06 18:48:16.691000,2023-06-06 18:48:36.205000,1420.131,1439.645,19.514,10,136_original
CODE EDITING,2023-06-06 18:48:36.205000,2023-06-06 18:48:57,1439.645,1460.44,20.795,10,136_original
COMPILING,2023-06-06 18:48:57,2023-06-06 18:48:58.850000,1460.44,1462.29,1.85,10,136_original
OUTPUT COMPREHENSION,2023-06-06 18:48:58.850000,2023-06-06 18:49:04.881000,1462.29,1468.321,6.031,10,136_original
TASK COMPREHENSION,2023-06-06 18:49:04.881000,2023-06-06 18:49:06.884000,1468.321,1470.324,2.003,11,203_complex
FAULT LOCALIZATION,2023-06-06 18:49:06.884000,2023-06-06 18:49:37.838000,1470.324,1501.278,30.954,11,203_complex
CODE EDITING,2023-06-06 18:49:37.838000,2023-06-06 18:50:14,1501.278,1537.44,36.162,11,203_complex
COMPILING,2023-06-06 18:50:14,2023-06-06 18:50:18.028000,1537.44,1541.468,4.028,11,203_complex
OUTPUT COMPREHENSION,2023-06-06 18:50:18.028000,2023-06-06 18:50:21.691000,1541.468,1545.131,3.663,11,203_complex
CODE EDITING,2023-06-06 18:50:21.691000,2023-06-06 18:50:34,1545.131,1557.44,12.309,11,203_complex
COMPILING,2023-06-06 18:50:34,2023-06-06 18:50:36.121000,1557.44,1559.561,2.121,11,203_complex
OUTPUT COMPREHENSION,2023-06-06 18:50:36.121000,2023-06-06 18:50:41.142000,1559.561,1564.582,5.021,11,203_complex
IDLE,2023-06-06 18:50:41.142000,2023-06-06 18:50:44.154000,1564.582,1567.594,3.012,12,13_simple
TASK COMPREHENSION,2023-06-06 18:50:44.154000,2023-06-06 18:50:50.204000,1567.594,1573.644,6.05,12,13_simple
FAULT LOCALIZATION,2023-06-06 18:50:50.204000,2023-06-06 18:51:03.127000,1573.644,1586.567,12.923,12,13_simple
CODE EDITING,2023-06-06 18:51:03.127000,2023-06-06 18:51:09,1586.567,1592.44,5.873,12,13_simple
COMPILING,2023-06-06 18:51:09,2023-06-06 18:51:12.272000,1592.44,1595.712,3.272,12,13_simple
OUTPUT COMPREHENSION,2023-06-06 18:51:12.272000,2023-06-06 18:53:13.893000,1595.712,1717.333,121.621,12,13_simple
CODE EDITING,2023-06-06 18:53:13.893000,2023-06-06 18:53:19,1717.333,1722.44,5.107,12,13_simple
COMPILING,2023-06-06 18:53:19,2023-06-06 18:53:21.627000,1722.44,1725.067,2.627,12,13_simple
OUTPUT COMPREHENSION,2023-06-06 18:53:21.627000,2023-06-06 18:53:45.041000,1725.067,1748.481,23.414,12,13_simple
CODE EDITING,2023-06-06 18:53:45.041000,2023-06-06 18:53:59,1748.481,1762.44,13.959,12,13_simple
COMPILING,2023-06-06 18:53:59,2023-06-06 18:54:01.750000,1762.44,1765.19,2.75,12,13_simple
OUTPUT COMPREHENSION,2023-06-06 18:54:01.750000,2023-06-06 18:54:04.227000,1765.19,1767.667,2.477,12,13_simple
CODE EDITING,2023-06-06 18:54:04.227000,2023-06-06 18:54:09,1767.667,1772.44,4.773,12,13_simple
COMPILING,2023-06-06 18:54:09,2023-06-06 18:54:12.812000,1772.44,1776.252,3.812,12,13_simple
OUTPUT COMPREHENSION,2023-06-06 18:54:12.812000,2023-06-06 18:54:18.859000,1776.252,1782.299,6.047,12,13_simple
TASK COMPREHENSION,2023-06-06 18:54:18.859000,2023-06-06 18:54:22.862000,1782.299,1786.302,4.003,13,118_original
FAULT LOCALIZATION,2023-06-06 18:54:22.862000,2023-06-06 18:54:30.077000,1786.302,1793.517,7.215,13,118_original
CODE EDITING,2023-06-06 18:54:30.077000,2023-06-06 18:55:37,1793.517,1860.44,66.923,13,118_original
COMPILING,2023-06-06 18:55:37,2023-06-06 18:55:40.083000,1860.44,1863.523,3.083,13,118_original
OUTPUT COMPREHENSION,2023-06-06 18:55:40.083000,2023-06-06 18:55:40.083000,1863.523,1863.523,0.0,13,118_original
