State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
CODE EDITING,2023-06-12 19:11:02.457000,2023-06-12 19:13:36,1575.227,1728.77,153.543,6,66_simple
COMPILING,2023-06-12 19:13:36,2023-06-12 19:13:38.612000,1728.77,1731.382,2.612,6,66_simple
OUTPUT COMPREHENSION,2023-06-12 19:13:38.612000,2023-06-12 19:13:48.571000,1731.382,1741.341,9.959,6,66_simple
CODE EDITING,2023-06-12 19:13:48.571000,2023-06-12 19:14:11,1741.341,1763.77,22.429,6,66_simple
COMPILING,2023-06-12 19:14:11,2023-06-12 19:14:18.658000,1763.77,1771.428,7.658,6,66_simple
OUTPUT COMPREHENSION,2023-06-12 19:14:18.658000,2023-06-12 19:14:22.509000,1771.428,1775.279,3.851,6,66_simple
CODE EDITING,2023-06-12 19:14:22.509000,2023-06-12 19:16:32,1775.279,1904.77,129.491,6,66_simple
COMPILING,2023-06-12 19:16:32,2023-06-12 19:16:36.867000,1904.77,1909.637,4.867,6,66_simple
OUTPUT COMPREHENSION,2023-06-12 19:16:36.867000,2023-06-12 19:16:44.872000,1909.637,1917.642,8.005,6,66_simple
TASK COMPREHENSION,2023-06-12 19:16:44.872000,2023-06-12 19:16:45.873000,1917.642,1918.643,1.001,7,108_simple
FAULT LOCALIZATION,2023-06-12 19:16:45.873000,2023-06-12 19:17:53.505000,1918.643,1986.275,67.632,7,108_simple
CODE EDITING,2023-06-12 19:17:53.505000,2023-06-12 19:18:44,1986.275,2036.77,50.495,7,108_simple
COMPILING,2023-06-12 19:18:44,2023-06-12 19:18:47.032000,2036.77,2039.802,3.032,7,108_simple
OUTPUT COMPREHENSION,2023-06-12 19:18:47.032000,2023-06-12 19:19:10.104000,2039.802,2062.874,23.072,7,108_simple
CODE EDITING,2023-06-12 19:19:10.104000,2023-06-12 19:19:26,2062.874,2078.77,15.896,7,108_simple
COMPILING,2023-06-12 19:19:26,2023-06-12 19:19:29.090000,2078.77,2081.86,3.09,7,108_simple
OUTPUT COMPREHENSION,2023-06-12 19:19:29.090000,2023-06-12 19:21:00.205000,2081.86,2172.975,91.115,7,108_simple
TASK COMPREHENSION,2023-06-12 19:21:00.205000,2023-06-12 19:21:01.209000,2172.975,2173.979,1.004,8,136_complex
FAULT LOCALIZATION,2023-06-12 19:21:01.209000,2023-06-12 19:21:37.334000,2173.979,2210.104,36.125,8,136_complex
CODE EDITING,2023-06-12 19:21:37.334000,2023-06-12 19:21:57,2210.104,2229.77,19.666,8,136_complex
COMPILING,2023-06-12 19:21:57,2023-06-12 19:22:03.297000,2229.77,2236.067,6.297,8,136_complex
OUTPUT COMPREHENSION,2023-06-12 19:22:03.297000,2023-06-12 19:22:53.351000,2236.067,2286.121,50.054,8,136_complex
CODE EDITING,2023-06-12 19:22:53.351000,2023-06-12 19:22:57,2286.121,2289.77,3.649,8,136_complex
COMPILING,2023-06-12 19:22:57,2023-06-12 19:22:59.398000,2289.77,2292.168,2.398,8,136_complex
